membership_id,first_name,last_name,email,mobile_no,date_of_birth,above_18,filename,badRecord,comments
"",Katie,Mcgee,Katie_Mcgee@moran.com,65726,19670625,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <25-06-1967> formatted as <1967-06-25> | email validation Success
"",Michael,Parker,Michael_Parker@mcfarland-johns.com,569205,19841003,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1984-10-03> formatted as <1984-10-03> | email validation Success
"",Robert,Atkins,Robert_Atkins@west.net,831963,20170911,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <09-11-2017> formatted as <2017-09-11> | email validation Failed
"",Stephanie,Brown,Stephanie_Brown@mueller-simmons.info,8354970,19760806,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <08-06-1976> formatted as <1976-08-06> | email validation Failed
"",Erin,Paul,Erin_Paul@vaughan-moore.com,923211,20081222,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12/22/2008> formatted as <2008-12-22> | email validation Success
"",Kristina,Torres,Kristina_Torres@wilson.com,65486,19560217,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <02/17/1956> formatted as <1956-02-17> | email validation Success
"",Aaron,Wilson,Aaron_Wilson@burke-benton.net,75053391,19870517,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <17-05-1987> formatted as <1987-05-17> | email validation Failed
"",Timothy,Scott,Timothy_Scott@williams.info,169047,19920621,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <21-06-1992> formatted as <1992-06-21> | email validation Failed
"",Ronald,Carter,Ronald_Carter@campbell-fitzgerald.com,5109812,19680116,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <16-01-1968> formatted as <1968-01-16> | email validation Success
"",Catherine,Smith,Catherine_Smith@king.org,1996933,19880520,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <20-05-1988> formatted as <1988-05-20> | email validation Failed
"",Catherine,Rivers,Catherine_Rivers@tate-barnes.com,8648641,19750313,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1975/03/13> formatted as <1975-03-13> | email validation Success
"",Cynthia,White,Cynthia_White@hogan.com,722319,19510821,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1951-08-21> formatted as <1951-08-21> | email validation Success
"",Shawn,Rojas,Shawn_Rojas@weber.com,64641,19601215,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <15-12-1960> formatted as <1960-12-15> | email validation Success
"",Samuel,Lee,Samuel_Lee@gardner-rodriguez.net,57636831,19740902,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <1974/09/02> formatted as <1974-09-02> | email validation Failed
"",John,Leon,John_Leon@campbell-wu.org,5767672,19851129,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1985/11/29> formatted as <1985-11-29> | email validation Failed
"",Karen,Lopez,Karen_Lopez@vargas-lewis.com,8649712,19850624,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <24-06-1985> formatted as <1985-06-24> | email validation Success
"",Rebekah,Jackson,Rebekah_Jackson@cook.info,14674871,19680514,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <1968-05-14> formatted as <1968-05-14> | email validation Failed
"",Megan,Wilson,Megan_Wilson@martinez.com,591723,19530831,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <08/31/1953> formatted as <1953-08-31> | email validation Success
"",Justin,Roberts,Justin_Roberts@wilson.com,1171528,20041202,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12-02-2004> formatted as <2004-12-02> | email validation Success
"",Ashley,Fernandez,Ashley_Fernandez@johnson-perry.info,49631,19600322,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1960-03-22> formatted as <1960-03-22> | email validation Failed
"",Terry,Oliver,Terry_Oliver@raymond-stewart.info,6019686,20130807,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <08-07-2013> formatted as <2013-08-07> | email validation Failed
"",Aaron,Clark,Aaron_Clark@sanchez.com,3522877,19640511,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1964-05-11> formatted as <1964-05-11> | email validation Success
"",Michael,Johnson,Michael_Johnson@jackson-cervantes.com,763653,19500708,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <07/08/1950> formatted as <1950-07-08> | email validation Success
"",Heather,Jones,Heather_Jones@medina.org,57191,20091107,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <11-07-2009> formatted as <2009-11-07> | email validation Failed
"",Carly,Estrada,Carly_Estrada@kim.com,2972565,19760914,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1976-09-14> formatted as <1976-09-14> | email validation Success
"",Alexandra,Hopkins,Alexandra_Hopkins@gaines.com,2092056,20150701,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <07/01/2015> formatted as <2015-07-01> | email validation Success
"",Brittany,Short,Brittany_Short@bowen.com,9283373,19930119,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1993-01-19> formatted as <1993-01-19> | email validation Success
"",Julie,Hopkins,Julie_Hopkins@roberts.com,57706,20180430,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <30-04-2018> formatted as <2018-04-30> | email validation Success
"",Crystal,Long,Crystal_Long@alvarez-warner.biz,528699,19740827,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <27-08-1974> formatted as <1974-08-27> | email validation Success
"",Jack,Jackson,Jack_Jackson@barron.biz,6430880,19630106,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1963/01/06> formatted as <1963-01-06> | email validation Success
"",Christina,Cross,Christina_Cross@terry-cooper.com,828471,20070224,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <02/24/2007> formatted as <2007-02-24> | email validation Success
"",Tina,Dickerson,Tina_Dickerson@gordon-harrison.info,21856,20091102,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <11/02/2009> formatted as <2009-11-02> | email validation Failed
"",Chase,Chavez,Chase_Chavez@vasquez.com,74541,19610512,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <05/12/1961> formatted as <1961-05-12> | email validation Success
"",Shelby,Williams,Shelby_Williams@white-cabrera.com,9588272,20160120,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2016-01-20> formatted as <2016-01-20> | email validation Success
"",Shannon,Jones,Shannon_Jones@choi-acosta.biz,59291,19940605,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <06-05-1994> formatted as <1994-06-05> | email validation Success
"",David,Goodwin,David_Goodwin@rivera-jones.com,6647831,19771018,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1977-10-18> formatted as <1977-10-18> | email validation Success
"",Stephen,Blankenship,Stephen_Blankenship@jefferson-anderson.com,24416,20171021,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <21-10-2017> formatted as <2017-10-21> | email validation Success
"",Jacqueline,Stanton,Jacqueline_Stanton@hawkins.com,42606,19541011,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1954/10/11> formatted as <1954-10-11> | email validation Success
"",Allison,Callahan,Allison_Callahan@weber.com,581313,19581025,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1958/10/25> formatted as <1958-10-25> | email validation Success
"",Frank,Schaefer,Frank_Schaefer@richardson-norton.com,30771,19550210,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <02/10/1955> formatted as <1955-02-10> | email validation Success
"",Stephanie,Ross,Stephanie_Ross@barker.com,9489831,19730312,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1973/03/12> formatted as <1973-03-12> | email validation Success
"",Donald,Norman,Donald_Norman@copeland.com,245049,19970726,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <07/26/1997> formatted as <1997-07-26> | email validation Success
"",Mitchell,Fleming,Mitchell_Fleming@nguyen.net,281433,20091229,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2009-12-29> formatted as <2009-12-29> | email validation Failed
"",Derek,Romero,Derek_Romero@ramos.org,35013079,19670806,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <1967-08-06> formatted as <1967-08-06> | email validation Failed
"",Beth,Hall,Beth_Hall@brown.org,9931 3667,19600712,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <07/12/1960> formatted as <1960-07-12> | email validation Failed
"",Monica,Clark,Monica_Clark@price-burgess.biz,12191,19810408,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <04/08/1981> formatted as <1981-04-08> | email validation Success
"",Michael,Rodriguez,Michael_Rodriguez@perez.net,861723,20120903,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2012/09/03> formatted as <2012-09-03> | email validation Failed
"",Emily,Davis,Emily_Davis@barker.info,947103,19751005,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <10/05/1975> formatted as <1975-10-05> | email validation Failed
"",Samantha,Arnold,Samantha_Arnold@rogers-bentley.org,91936,19720105,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <01/05/1972> formatted as <1972-01-05> | email validation Failed
"",Adam,Davidson,Adam_Davidson@snyder.com,92651,20160909,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2016-09-09> formatted as <2016-09-09> | email validation Success
"",Kristen,Wallace,Kristen_Wallace@greer.net,91796,19950419,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1995/04/19> formatted as <1995-04-19> | email validation Failed
"",Richard,Flores,Richard_Flores@gomez-young.org,171405,19830228,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <02/28/1983> formatted as <1983-02-28> | email validation Failed
"",Nicole,Page,Nicole_Page@ross.com,60101,19840704,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1984/07/04> formatted as <1984-07-04> | email validation Success
"",Anna,Crawford,Anna_Crawford@brown.com,8133399,20080217,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2008/02/17> formatted as <2008-02-17> | email validation Success
"",David,Stokes,David_Stokes@tyler-smith.org,1236621,19810825,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1981/08/25> formatted as <1981-08-25> | email validation Failed
"",Lacey,Cochran,Lacey_Cochran@flowers.com,38946,20040928,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2004/09/28> formatted as <2004-09-28> | email validation Success
"",Jessica,Burns,Jessica_Burns@maynard-ruiz.com,231345,19810601,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1981-06-01> formatted as <1981-06-01> | email validation Success
"",Matthew,Blevins,Matthew_Blevins@johnson.com,24726,19650309,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <03/09/1965> formatted as <1965-03-09> | email validation Success
"",Sabrina,Young,Sabrina_Young@walters-freeman.net,26381,20110211,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2011-02-11> formatted as <2011-02-11> | email validation Failed
"",Ricardo,Brown,Ricardo_Brown@pitts-jimenez.com,8765961,19790830,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1979/08/30> formatted as <1979-08-30> | email validation Success
"",Heather,Conley,Heather_Conley@clements.com,8704802,19570509,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1957-05-09> formatted as <1957-05-09> | email validation Success
"",Penny,Lopez,Penny_Lopez@young-huang.net,9959 6291,19540925,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <09/25/1954> formatted as <1954-09-25> | email validation Failed
"",Kristin,Baker,Kristin_Baker@baker-li.info,385431,20110429,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2011/04/29> formatted as <2011-04-29> | email validation Failed
"",Jacqueline,Wilson,Jacqueline_Wilson@davis.com,4610005,20100329,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <29-03-2010> formatted as <2010-03-29> | email validation Success
"",Becky,Robinson,Becky_Robinson@navarro-rodriguez.com,118719,19910920,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1991-09-20> formatted as <1991-09-20> | email validation Success
"",Greg,Hendrix,Greg_Hendrix@miller-brown.com,76556,19780506,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1978-05-06> formatted as <1978-05-06> | email validation Success
"",Brandon,Erickson,Brandon_Erickson@wilson.com,358557,19821119,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1982-11-19> formatted as <1982-11-19> | email validation Success
"",Theresa,Ross,Theresa_Ross@thompson.info,97976,19690618,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1969/06/18> formatted as <1969-06-18> | email validation Failed
"",Julian,Nguyen,Julian_Nguyen@lewis.com,23876,20130327,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <03/27/2013> formatted as <2013-03-27> | email validation Success
"",Charles,Shields,Charles_Shields@oliver.org,54884063,19790407,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <1979/04/07> formatted as <1979-04-07> | email validation Failed
"",Adriana,Perez,Adriana_Perez@harris.com,6357009,19560114,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1956/01/14> formatted as <1956-01-14> | email validation Success
"",Melissa,Jackson,Melissa_Jackson@schroeder-lopez.org,51041,19961201,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12-01-1996> formatted as <1996-12-01> | email validation Failed
"",William,Ortiz,William_Ortiz@foley.org,880059,19900623,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1990-06-23> formatted as <1990-06-23> | email validation Failed
"",Mark,Johnson,Mark_Johnson@smith.com,82956,19781117,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1978/11/17> formatted as <1978-11-17> | email validation Success
"",Troy,Phillips,Troy_Phillips@huynh.net,266277,19511027,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1951/10/27> formatted as <1951-10-27> | email validation Failed
"",Sarah,Porter,Sarah_Porter@rose-mercado.net,128499,19701221,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12/21/1970> formatted as <1970-12-21> | email validation Failed
"",Mark,Scott,Mark_Scott@hernandez.com,8159362,19760512,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <05/12/1976> formatted as <1976-05-12> | email validation Success
"",Joseph,Sullivan,Joseph_Sullivan@woods-shaw.biz,377631,19790712,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <07/12/1979> formatted as <1979-07-12> | email validation Success
"",Andrew,Ryan,Andrew_Ryan@woodard.com,184779,20121128,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2012-11-28> formatted as <2012-11-28> | email validation Success
"",Paula,Dixon,Paula_Dixon@lee-carter.net,969831,19990224,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1999/02/24> formatted as <1999-02-24> | email validation Failed
"",Emily,Hernandez,Emily_Hernandez@hernandez-mcconnell.biz,31041,20150803,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2015/08/03> formatted as <2015-08-03> | email validation Success
"",Donald,Jimenez,Donald_Jimenez@coleman.info,544983,20160207,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2016/02/07> formatted as <2016-02-07> | email validation Failed
"",William,Parker,William_Parker@colon.net,43576,19520802,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <08-02-1952> formatted as <1952-08-02> | email validation Failed
"",Austin,Stevens,Austin_Stevens@nixon-bell.net,877473,19921206,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12/06/1992> formatted as <1992-12-06> | email validation Failed
"",Heather,Rogers,Heather_Rogers@golden.com,3442552,19960419,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1996/04/19> formatted as <1996-04-19> | email validation Success
"",Christopher,Cline,Christopher_Cline@conrad.org,21240567,19580228,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <1958-02-28> formatted as <1958-02-28> | email validation Failed
"",James,Cordova,James_Cordova@rodriguez.info,9407 5463,19580904,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <09/04/1958> formatted as <1958-09-04> | email validation Failed
"",Denise,Smith,Denise_Smith@lee.biz,744777,19920502,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <05/02/1992> formatted as <1992-05-02> | email validation Success
"",Amanda,Myers,Amanda_Myers@schneider.com,670095,19770324,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <24-03-1977> formatted as <1977-03-24> | email validation Success
"",Johnny,Mooney,Johnny_Mooney@miles.biz,8371406,19510929,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1951/09/29> formatted as <1951-09-29> | email validation Success
"",Corey,Spencer,Corey_Spencer@rios.com,335667,19950513,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <13-05-1995> formatted as <1995-05-13> | email validation Success
"",Jacqueline,Davis,Jacqueline_Davis@williams.info,17681,20091206,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12-06-2009> formatted as <2009-12-06> | email validation Failed
"",Kayla,Davis,Kayla_Davis@zuniga.net,3597924,20070827,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <27-08-2007> formatted as <2007-08-27> | email validation Failed
"",Bradley,Poole,Bradley_Poole@schroeder-benitez.info,5383008,19950424,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1995/04/24> formatted as <1995-04-24> | email validation Failed
"",William,Pierce,William_Pierce@smith.com,6368594,19871003,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1987/10/03> formatted as <1987-10-03> | email validation Success
"",Brianna,Berg,Brianna_Berg@martin.info,3607815,19911110,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1991/11/10> formatted as <1991-11-10> | email validation Failed
"",Jimmy,Fischer,Jimmy_Fischer@jackson.org,6097155,20110724,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <24-07-2011> formatted as <2011-07-24> | email validation Failed
"",Frances,Harris,Frances_Harris@martinez.com,3637229,19690922,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <09/22/1969> formatted as <1969-09-22> | email validation Success
